                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0129,                 4.2141,                 1.5166,                0.02775,                0.34104,                0.06223,                0.04925,                0.96679,                   3.73,                  1.635,             9.6819e-05,             9.6819e-05,             9.6819e-05
                      2,                0.98433,                 3.5672,                 1.4864,                0.45432,                0.25196,                0.20684,                 0.1432,                 1.1333,                 2.7653,                 1.7751,             0.00019321,             0.00019321,             0.00019321
                      3,                 1.0108,                 2.9348,                 1.4942,                0.59519,                0.38042,                0.35013,                0.25305,                 1.0962,                 3.0429,                  1.718,             0.00028799,             0.00028799,             0.00028799
                      4,                 1.0115,                 2.6078,                 1.4791,                0.41755,                0.50969,                0.40554,                0.27978,                  1.195,                 2.0859,                 1.8654,             0.00028672,             0.00028672,             0.00028672
                      5,                0.98818,                 2.3576,                  1.455,                0.56704,                0.47705,                0.49535,                0.33508,                  1.119,                 1.9189,                 1.7461,             0.00028672,             0.00028672,             0.00028672
                      6,                0.95394,                 2.1981,                 1.4547,                0.68673,                0.50945,                 0.5169,                 0.3635,                 1.1212,                 1.8554,                 1.7537,              0.0002843,              0.0002843,              0.0002843
                      7,                0.95934,                 2.1022,                 1.4299,                0.54297,                0.64105,                0.59057,                0.41375,                 1.1212,                 1.8898,                 1.7503,             0.00028187,             0.00028187,             0.00028187
                      8,                0.92363,                 1.9539,                  1.405,                0.53183,                0.56813,                0.56585,                0.42097,                 1.1076,                 1.7367,                 1.7119,             0.00027945,             0.00027945,             0.00027945
                      9,                0.92405,                  1.857,                 1.4006,                0.59947,                0.64886,                0.65152,                0.49152,                 1.0511,                 1.5808,                 1.6667,             0.00027702,             0.00027702,             0.00027702
                     10,                0.92596,                 1.7848,                 1.3876,                0.61922,                0.58557,                0.65207,                0.48918,                 1.0475,                 1.6202,                 1.6715,              0.0002746,              0.0002746,              0.0002746
                     11,                0.87372,                 1.7595,                  1.359,                0.54046,                0.63695,                0.61271,                0.45338,                 1.0902,                 1.6798,                 1.7306,             0.00027217,             0.00027217,             0.00027217
                     12,                0.87812,                 1.6787,                 1.3553,                0.62012,                0.72075,                0.70133,                0.51407,                 1.1023,                 1.4564,                 1.6974,             0.00026974,             0.00026974,             0.00026974
                     13,                0.86678,                 1.6314,                  1.342,                0.61648,                0.69083,                0.69911,                0.50582,                 1.0724,                 1.4892,                 1.6801,             0.00026732,             0.00026732,             0.00026732
                     14,                0.86276,                 1.5759,                 1.3441,                0.56276,                0.74535,                0.71219,                0.53239,                 1.0265,                 1.4786,                 1.6084,             0.00026489,             0.00026489,             0.00026489
                     15,                0.86324,                 1.5337,                 1.3391,                0.62539,                0.75348,                0.70984,                0.51802,                 1.0514,                 1.4532,                 1.6356,             0.00026247,             0.00026247,             0.00026247
                     16,                0.86671,                 1.4936,                 1.3405,                0.59139,                0.75956,                 0.6794,                 0.5044,                 1.0558,                 1.4089,                 1.6488,             0.00026004,             0.00026004,             0.00026004
                     17,                0.85795,                 1.4649,                 1.3314,                0.59513,                0.79425,                0.70322,                0.52413,                  1.057,                 1.3771,                 1.6589,             0.00025762,             0.00025762,             0.00025762
                     18,                0.84245,                 1.4143,                 1.3128,                0.67207,                0.75152,                0.73259,                0.55429,                 1.0531,                 1.2843,                 1.6365,             0.00025519,             0.00025519,             0.00025519
                     19,                  0.839,                 1.3759,                 1.3131,                0.67504,                0.71563,                0.73095,                 0.5465,                  1.037,                 1.3263,                 1.6321,             0.00025277,             0.00025277,             0.00025277
                     20,                0.82048,                 1.3361,                 1.2934,                0.74231,                0.68487,                0.73599,                0.56072,                 1.0178,                 1.2904,                  1.602,             0.00025034,             0.00025034,             0.00025034
                     21,                0.84137,                 1.3506,                 1.3143,                0.65638,                0.74054,                0.75406,                0.58178,                 1.0289,                 1.2603,                 1.5982,             0.00024792,             0.00024792,             0.00024792
                     22,                0.82607,                 1.3214,                 1.3018,                0.71801,                0.72549,                0.79078,                0.60087,                 1.0464,                  1.252,                 1.6264,             0.00024549,             0.00024549,             0.00024549
                     23,                0.79158,                 1.2841,                 1.2724,                 0.6588,                0.70588,                0.72783,                0.54478,                 1.0653,                 1.3402,                 1.6824,             0.00024306,             0.00024306,             0.00024306
                     24,                0.83682,                 1.2724,                 1.2979,                0.70973,                 0.7483,                0.74717,                0.56828,                 1.0543,                 1.2673,                 1.6675,             0.00024064,             0.00024064,             0.00024064
                     25,                 0.8253,                 1.2477,                 1.2983,                0.73299,                0.70896,                0.75912,                0.57652,                 1.0449,                 1.2457,                 1.6311,             0.00023821,             0.00023821,             0.00023821
                     26,                0.80966,                 1.2223,                 1.2881,                0.65261,                0.76613,                0.76893,                0.57919,                 1.0173,                 1.2265,                 1.5946,             0.00023579,             0.00023579,             0.00023579
                     27,                0.80394,                 1.2088,                 1.2729,                0.71162,                0.72057,                0.76385,                0.58349,                 1.0054,                 1.2134,                 1.6195,             0.00023336,             0.00023336,             0.00023336
                     28,                0.79232,                 1.1826,                 1.2742,                0.68849,                0.69187,                0.74673,                0.55984,                 1.0695,                 1.2545,                 1.6545,             0.00023094,             0.00023094,             0.00023094
                     29,                0.79515,                 1.1804,                 1.2726,                0.77354,                0.70156,                0.77514,                0.58768,                 1.0289,                 1.1618,                 1.6187,             0.00022851,             0.00022851,             0.00022851
                     30,                0.79542,                 1.1666,                   1.27,                0.71058,                0.70745,                0.76244,                0.58064,                 1.0581,                 1.2231,                 1.6666,             0.00022609,             0.00022609,             0.00022609
                     31,                0.79617,                 1.1362,                 1.2686,                0.66847,                0.72368,                0.74495,                0.57449,                 1.0384,                 1.1958,                 1.6297,             0.00022366,             0.00022366,             0.00022366
                     32,                0.76771,                 1.1174,                 1.2544,                0.70255,                 0.7807,                 0.7903,                0.60081,                 1.0414,                 1.1357,                 1.6369,             0.00022123,             0.00022123,             0.00022123
                     33,                0.77112,                 1.1114,                 1.2537,                0.77242,                0.72486,                0.78524,                0.59907,                 1.0222,                 1.1223,                 1.5959,             0.00021881,             0.00021881,             0.00021881
                     34,                0.76655,                 1.0876,                 1.2569,                0.65771,                0.79285,                0.75439,                 0.5776,                 1.0267,                 1.2414,                 1.6034,             0.00021638,             0.00021638,             0.00021638
                     35,                0.76945,                 1.0946,                 1.2571,                0.74148,                0.67637,                 0.7445,                0.56585,                 1.0292,                 1.2179,                 1.6176,             0.00021396,             0.00021396,             0.00021396
                     36,                0.75798,                 1.0565,                 1.2534,                0.73906,                0.71886,                0.77466,                0.59403,                 1.0142,                 1.1231,                 1.6081,             0.00021153,             0.00021153,             0.00021153
